#https://arxiv.org/pdf/1402.3597v1.pdf
#
#DUst	masses,	no	stellar	masses	(also	has	IR	luminosities)##
#
#Discusses	stellar	masses	as	calculating	by	Boselli2009
#https://arxiv.org/pdf/0910.3521v2.pdf
#but	that	paper	has	no	equation	either.	Prob	some	observer	bullshit
#
#SM	via	email	from	Ciesla
#Calculated	using	near-IR-optical	colour	dependent
#luminosity	mass	relations	as	determined	from
#chem-spectro-photometric	models	of	galaxy	evoltion	(Bossier+Prantzos2000)
#
#
2	6.25	0.08	2	8.662	
8	7.50	0.09	8	9.969	
10	6.29	0.15	10	8.778	
11	6.97	0.05	11	9.354	
12	5.77	0.10	12	8.351	
13	7.57	0.04	13	10.39	
15	7.67	0.08	15	10.19	
16	7.26	0.07	16	9.689	
17	7.19	0.05	17	9.574	
19	7.02	0.10	19	9.504	
20	7.26	0.04	20	9.477	
23	7.37	0.04	23	9.809	
24	7.52	0.06	24	10.05	
25	7.12	0.05	25	9.747	
26	6.32	0.14	26	8.662	
27	6.53	0.07	27	8.95	
28	6.79	0.06	28	9.158	
29	6.63	0.11	29	8.761	
30	6.75	0.12	30	8.899	
31	7.09	0.10	31	9.827	
33	7.01	0.05	33	9.721	
34	7.10	0.06	34	9.35	
37	6.76	0.07	37	9.46	
38	6.74	0.12	38	9.031	
39	6.68	0.13	39	8.893	
40	6.72	0.06	40	9.186	
41	6.63	0.09	41	8.974	
42	7.28	0.08	42	9.86	
44	6.23	0.10	44	8.582	
47	6.91	0.15	47	9.297	
48	7.47	0.06	48	9.828	
50	7.23	0.03	50	9.722	
51	6.83	0.07	51	9.135	
52	6.02	0.12	52	9.262	
53	6.99	0.06	53	9.458	
54	6.73	0.08	54	9.753	
55	7.08	0.06	55	9.487	
56	7.46	0.03	56	10.14	
59	7.29	0.08	59	9.862	
60	6.93	0.05	60	9.841	
61	6.25	0.15	61	8.512	
62	7.26	0.15	62	9.274	
63	7.49	0.08	63	10.16	
64	6.69	0.13	64	8.928	
65	6.73	0.17	65	9.054	
66	7.36	0.01	66	9.811	
67	6.66	0.19	67	8.87	
68	5.90	0.05	68	8.829	
69	7.23	0.15	69	10.4	
70	6.67	0.10	70	8.939	
72	6.35	0.17	72	8.793	
73	7.82	0.07	73	10.25	
74	6.96	0.05	74	9.521	
75	6.43	0.17	75	8.582	
76	6.22	0.18	76	8.408	
77	7.98	0.03	77	10.54	
78	6.70	0.13	78	8.828	
79	6.44	0.27	79	8.778	
81	7.18	0.04	81	9.758	
84	6.42	0.06	84	9.156	
85	7.37	0.04	85	10.14	
86	7.22	0.10	86	9.281	
88	7.40	0.16	88	9.318	
89	7.58	0.07	89	9.648	
91	7.85	0.06	91	10.66	
92	6.61	0.10	92	9.11	
94	7.29	0.10	94	9.522	
95	6.65	0.06	95	9.523	
96	7.34	0.04	96	10	
98	7.07	0.07	98	9.153	
102	7.97	0.04	102	10.38	
107	6.56	0.14	107	8.952	
109	6.84	0.09	109	9.413	
110	6.93	0.08	110	9.291	
111	7.41	0.02	111	9.837	
114	7.89	0.03	114	10.45	
121	7.29	0.05	121	9.821	
122	8.12	0.06	122	10.63	
132	6.52	0.16	132	9.092	
133	7.14	0.16	133	8.824	
139	6.65	0.09	139	9.043	
140	7.17	0.15	140	10.06	
142	6.80	0.06	142	9.525	
143	7.35	0.05	143	9.708	
145	6.99	0.10	145	9.207	
146	6.94	0.06	146	9.303	
148	7.12	0.08	148	9.064	
151	6.80	0.10	151	9.296	
154	7.16	0.12	154	9.259	
157	6.84	0.05	157	9.366	
168	6.37	0.11	168	8.517	
169	6.77	0.11	169	8.812	
177	6.62	0.05	177	9.173	
182	6.88	0.06	182	9.403	
187	7.35	0.10	187	8.612	
188	7.05	0.06	188	9.326	
194	8.12	0.04	194	10.31	
196	7.04	0.10	196	9.328	
198	6.91	0.12	198	9.17	
201	7.84	0.01	201	10.54	
203	7.07	0.05	203	9.278	
205	7.72	0.05	205	10.2	
212	6.59	0.11	212	8.819	
213	8.38	0.04	213	11.11	
227	7.11	0.13	227	9.147	
237	6.79	0.09	237	9.284	
238	5.95	0.28	238	8.397	
242	6.96	0.10	242	9.832	
246	7.44	0.06	246	10.03	
247	7.72	0.04	247	10.15	
251	8.07	0.01	251	10.8	
252	7.02	0.19	252	9.101	
257	7.42	0.13	257	10.43	
259	7.04	0.14	259	9.222	
262	7.11	0.09	262	9.37	
263	8.22	0.12	263	10.97	
266	7.70	0.16	266	9.462	
267	6.99	0.15	267	9.234	
268	7.01	0.04	268	9.294	
271	6.97	0.11	271	9.111	
274	6.93	0.09	274	10.04	
275	7.22	0.07	275	9.554	
279	7.15	0.14	279	8.657	
281	5.99	0.14	281	9.262	
283	7.20	0.04	283	9.552	
284	7.04	0.03	284	9.643	
287	6.96	0.06	287	9.494	
289	7.49	0.04	289	10.24	
290	6.27	0.08	290	9.12	
292	6.82	0.03	292	9.47	
293	6.89	0.06	293	9.058	
295	7.79	0.05	295	10.03	
297	7.54	0.05	297	9.944	
298	6.67	0.06	298	9.216	
299	7.31	0.13	299	9.83	
301	7.57	0.13	301	9.92	
302	7.02	0.13	302	9.089	
309	6.48	0.14	309	8.732	
314	6.96	0.12	314	9.17	
317	6.41	0.22	317	8.685	
318	7.00	0.09	318	9.423	
319	7.32	0.10	319	9.597	
320	7.56	0.10	320	9.541	
321	6.54	0.04	321	9.17	
322	7.50	0.16	322	10.48	
323	7.20	0.03	323	9.723	





























































































































































































