#https://arxiv.org/pdf/1312.3442v1.pdf
#Remy-Ruyer 2014
#Appendix has dust masses and gas masses
#NO IMF?????
#G11 data only
#z = 0


#Name MHI MHIerror 12+log(O/H) MH2,mw MH2,Z DustMass DMerror 

M83		5.13E9	 5.00	 8.62	 8.65E8 	 1.19E9			1.1E7	8.14
NGC1808	1.78E9	 9.46	 9.10	 1.75E9 	 2.64E8	2.54E7	34.24
NGC7552	4.79E9	 16.08	 8.35	 - 	 -	7.24E7	16.10
M82	8.91E8	 10.29	 8.51	 4.43E8 	 1.01E9	6.85E6	33.02
NGC1068	2.24E9	 18.35	 9.00	 7.26E9 	 1.74E9	2.77E8	36.05
NGC0891	7.59E9	 16.08	 8.90	 5.75E9 	 2.19E9	5.84E7	11.84
MGC+02-04-025	1.74E9	 16.08	 8.52	 - 	 -	1.01E8	47.08
NGC7469	1.51E9	 16.08	 8.70	 6.28E9 	 6.00E9	1.55E8	19.16
NGC5256	-	 -	 8.53	 9.92E9 	 2.07E10	2.01E8	62.93
NGC5953	5.75E8	 16.08	 8.73	 1.62E9 	 1.34E9	2.25E7	18.90
M51	5.01E9	 5.63	 8.55	 3.95E9 	 7.53E9	3.74E8	21.82
NGC3995	6.17E9	 16.08	 8.66	 -	 -	5.75E7	23.47
NGC3994	2.82E9	 16.08	 8.61	 - 	 -	5.27E7	34.81
NGC6052	3.80E9	 16.08	 8.65	 3.00E9 	 3.61E9	5.84E7	32.58
NGC1222	1.20E9	 16.08	 8.57	 7.23E8 	 1.26E9	1.33E7	26.71
NGC7674	1.07E10	 16.08	 8.14	 6.34E9 	 7.99E10	9.83E7	29.69
NGC4670	1.66E8	 16.08 	 8.30	 9.00E6  	 5.42E7	1.13E6 	21.12





























































































































